article_links,body,title
https://www.eluniversal.com.mx/universal-deportes/futbol/cruz-azul-se-filtra-nuevo-uniforme,"El futbol está detenido, pero los equipos y su patrocinadoras se mantienen activos en los diseños de los próximos uniformes, para la temporada 2020-21. ",Se filtra nuevo uniforme de Cruz Azul para la temporada 2020-21
https://www.eluniversal.com.mx/autor-opinion/columnistas/ricardo-homs/focus,,Ricardo Homs
https://www.eluniversal.com.mx/estados/reportan-tornado-en-puebla-hay-cuatro-viviendas-afectadas,"Un tornado se registró en la localidad de Metepec del municipio de Zacatlán, ubicado en el norte del estado de Puebla.",Reportan tornado en Puebla; hay cuatro viviendas afectadas
https://www.eluniversal.com.mx/destinos/djs-de-clubes-nocturnos-en-berlin-transmiten-sets-en-vivo,"Desde el pasado viernes 13 de marzo, la vida nocturna de Berlín se detuvo para frenar la propagación del coronavirus, lo cual significó el cierre de bares, clubes nocturnos dando paso al desempleo de cientos de trabajadores incluyendo a DJs quienes se presentaban con frecuencia en estos lugares.
 
Gracias a la campaña “United We Stream”, lanzada por Clubcommission Berlin, Reclaim Club Cultur y ARTE Concert, podrás ver a los DJs que normalmente tocan en los clubes nocturnos de Berlín y, si lo deseas, también puedes hacer alguna donación para el apoyo a dichos lugares y sus trabajadores. 
 
El proyecto United We Stream consta de transmisiones en vivo todos los días de sets de Djs en diferentes clubes -vacíos, por supuesto- de la ciudad y así poder conocer y escuchar desde tu casa cómo es la escena nocturna de Berlín. ",DJs de clubes nocturnos en Berlín transmiten en vivo
https://www.eluniversal.com.mx/autopistas/pilotos-con-un-solo-triunfo-en-la-f1,"Más de 100 pilotos en la historia de la Fórmula 1 han experimentado la dicha de llevarse la bandera a cuadros y escuchar el himno de su país (o por lo menos una canción en su lengua natal, como le pasó a Pedro Rodríguez). ",Pilotos de Fórmula 1 que solo ganaron una carrera
https://www.eluniversal.com.mx/menu/que-es-la-hidromiel-y-como-se-prepara,"La hidromiel es una bebida preparada bajo un proceso de fermentación a base de miel de abeja y agua, aunque existen muchas variaciones en cuanto al sabor de la misma, es considerada una de las bebidas más antiguas de la humanidad, si quieres conocer qué es y cómo se prepara, en Menú te lo diremos. ",Conoce qué es la hidromiel y cuál es su preparación
https://www.eluniversal.com.mx/universal-deportes/futbol/luis-hernandez-cuauhtemoc-gobernador-estamos-valiendo-mad,"Ayer se llevó a cabo El Franjatón, iniciativa del Club Puebla para recaudar fondos y apoyar a los más necesitados en esta pandemia de Covid-19.",Luis Hernández: ¿Cuauhtémoc gobernador? Estamos valiendo mad…
https://www.eluniversal.com.mx/espectaculos/farandula/karla-luna-expone-infidelidad-de-su-esposo-con-karla-panini,"La familia de la fallecida Karla Luna, dio a conocer a través de redes sociales, un audio en el que su madre confronta a su entonces amiga y compañera de trabajo Karla Panini sobre la relación que había entre ella y su entonces esposo Américo Garza. ","En inédito audio, Karla Luna expone infidelidad de su esposo con Karla Panini"
https://www.eluniversal.com.mx/autor-opinion/angel-gilberto-adame/la-belisario-para-leona-vicario,,Ángel Gilberto Adame
https://www.eluniversal.com.mx/metropoli/cdmx/sin-disponibilidad-29-hospitales-convertidos-para-covid-19-en-el-valle-de-mexico,"De los hospitales convertidos para atender a pacientes Covid-19 en la Zona Metropolitana del Valle de México, 29 están reportados sin disponibilidad,  22 con disponibilidad media y 24 con disponibilidad alta.","Sin disponibilidad, 29 hospitales convertidos para atender Covid-19 en el Valle de México"
https://www.eluniversal.com.mx/estados,,Mujer de 70 años muere en consultorio de farmacia en Veracruz
https://www.eluniversal.com.mx/estados/asi-quedo-nuevo-leon-tras-el-paso-del-tornado-donde-murieron-dos-personas,"Monterrey, NL.- Protección Civil de Nuevo León, señaló que el Servicio Meteorológico Nacional confirmó que el fenómeno que azotó ayer en la entidad y dejó un saldo de dos muertos además de cuantiosos daños materiales, fue un tornado categoría EF-2, que alcanzó una velocidad de entre 180 y 220 kilómetros por hora, sin precedentes en el estado.",Así quedó Nuevo León tras el paso del tornado donde murieron dos personas
https://www.eluniversal.com.mx/estados/casos-de-coronavirus-confirmados-en-mexico-estado-por-estado-al-8-de-mayo,"
Al 8 de mayo, la Secretaría de Salud federal informó hay registro de 3 mil 160 muertos y 31 mil 522 casos confirmados de coronavirus en México.","Casos de coronavirus confirmados en México, estado por estado al 8 de mayo"
https://www.eluniversal.com.mx/deportes,,Futbolista mexicano sufre aparatoso golpe en final de Nicaragua
https://www.eluniversal.com.mx/nacion/las-2-caras-de-la-etapa-mas-critica-de-la-pandemia-en-mexico,"
De cara al comienzo de la etapa más crítica de la contingencia por Covid-19 y en la que las autoridades prevén el pico de contagios, la Ciudad de México despertó ayer con dos realidades:",Las 2 caras de la etapa más crítica de la pandemia en México
https://www.eluniversal.com.mx/espectaculos,,Yuridia anda “happy”
https://www.eluniversal.com.mx/autor-opinion/articulistas/porfirio-munoz-ledo,,Porfirio Muñoz Ledo
https://www.eluniversal.com.mx/techbit/que-numero-ves-conoce-el-nuevo-reto-viral,"Debido a que una gran cantidad de personas en todo el mundo se encuentran en cuarentena como medida para evitar la propagación del coronavirus, es que los juegos y desafíos en Internet y las redes sociales han tomado un segundo aire como medio de entretenimiento.",¿Qué número ves? Conoce el nuevo reto viral 
https://www.eluniversal.com.mx/menu,,Los chefs Eduardo Morali y Darren Walsh comparten las mejores recetas de sus mamás
https://www.eluniversal.com.mx/estados/casos-de-covid-19-en-yucatan-quintana-roo-y-tabasco-al-8-de-mayo,"
De acuerdo con el reporte de la Secretaría de Salud federal del 8 de mayo se han registrado mil 531 casos confirmados y 201 fallecimientos por Covid-19 en Tabasco.","Casos de Covid-19 en Yucatán, Quintana Roo y Tabasco al 8 de mayo"
