body,title
"Culiacán, Sin.– La Policía Municipal de Culiacán frustró el intento de robo de un ventilador respiratorio de un hospital en esta ciudad y detuvo a dos personas, una de ellas vestida con un uniforme de médico, los cuales fueron puestos a disposición de la Fiscalía General del Estado.
       
En un reporte emitido por la Secretaría de Seguridad Pública del Estado se dio a conocer que guardias privados del hospital detectaron la actitud sospechosa de dos personas que no se identificaron como personal del hospital, los cuales movían el equipo médico sin justificación.
         
Los elementos privados notificaron a la línea de emergencia 911 los hechos, por lo que elementos de la Policía Municipal de Culiacán lograron detener a Pedro Miguel “N” y Noel “N”.
           
De acuerdo al parte informativo, los presuntos delincuentes, uno de ellos vestido como médico, entraron al hospital y se apoderaron de un ventilador respiratorio utilizado para asistir a pacientes con Covid-19 y lo movieron a otro punto del hospital.
         
Las autoridades iniciaron la carpeta de investigación sobre este hecho en el hospital que se mantuvo en reserva, a fin de clarificar si los presuntos responsables del intento de robo de un equipo médico tuvieron cómplices.",Detienen a hombre vestido de doctor que intentaba robar ventilador respiratorio en Culiacán
,Apertura de hoteles será paulatina: CDMX 
"Según las proyecciones de la Secretaría de Salud, este  8 de mayo será un día crucial para la Ciudad de México, pues prevén que sea el día pico de la epidemia de coronavirus o Covid-19.
 ","Hoy, día pico de la pandemia de coronavirus en México"
"El presidente Andrés Manuel López Obrador aseguró que respeta las críticas que han realizado exsecretarios de Salud sobre el manejo del coronavirus por parte de su gobierno, pero acusó que estas opiniones tienen intereses políticos, y respaldó la actuación de Jorge Alcocer, secretario de Salud, y del subsecretario Hugo López-Gatell. ","Críticas de exsecretarios de Salud, por intereses políticos y partidistas: AMLO"
"Por la mañana se anunció el descubrimiento de una aldea maya que pertenecer al periodo Posclásico maya (1200-1546 d.C.) en Mahahual, Quintana Roo.",Tres hallazgos arqueológicos relevantes de México en los últimos meses
"
El presidente Andrés Manuel López Obrador aseguró que respeta las críticas del exrector de la UNAM y exsecretario de Salud, José Narro Robles, sobre la manera en que su gobierno ha contabilizado las cifras de contagios de Covid-19.","Bienvenidas, la crítica y la pluralidad: López-Gatell"
"
Torreón, Coah.",Clases online. Sin computadora en casa 
,Raúl Rodríguez Cortés
"El vocero de Presidencia, Jesús Ramírez Cuevas, rechazó que el gobierno federal oculte información sobre contagios o fallecimientos por Covid-19, como –dijo- suponen algunos medios de comunicación. ",Presidencia rechaza que gobierno federal oculte datos sobre contagios o fallecimientos por Covid-19
"
El presidente Andrés Manuel López Obrador y el exmandatario Felipe Calderón chocaron ayer por el papel que tuvo Genaro García Luna cuando fue secretario de Seguridad con el panista y quien habría recibido varias denuncias de presuntos nexos con el crimen organizado en ese sexenio, las cuales no procedieron.",AMLO señala encubrimiento en caso García Luna
"Investigadores de México y Alemania lograron identificar a la primera generación de africanos que llegó a América, a través de estudios genéticos realizados a restos de tres encontrados en un entierro masivo, en el Hospital Real de San José de los Naturales.
 
Los especialistas que hicieron el descubrimiento pertenecen a la Escuela Nacional de Antropología e Historia (ENAH) y al Instituto Max Planck para la Ciencia de la Historia Humana (MPI-SHH, por sus siglas en inglés) en Alemania, quienes publicaron el artículo “Origin and Health Status of First-Generation Africans from Early Colonial Mexico”, en la revista científica ""Current Biology"", informó el Instituto Nacional de Antropología e Historia (INAH) en un comunicado.
 
El estudio presenta la aplicación de un conjunto de métodos y técnicas para mostrar la primera caracterización en profundidad de esclavos africanos de primera generación en el México colonial, un grupo históricamente oprimido, advierten los autores del artículo, encabezados por Johannes Krause, investigador del MPI-SHH; Rodrigo Barquera, químico farmacobiólogo de la ENAH, quien realiza su doctorado en el MPI-SHH; y Víctor Acuña y Lourdes Márquez, de los laboratorios de Genética Molecular y de Osteología de la ENAH, respectivamente.",Investigadores identifican a la primera generación de africanos que llegó a América
"El pasado 4 de mayo, Elon Musk y su compañera Claire ""Grimes"" Boucher dieron la bienvenida a su primer hijo juntos y poco después revelaron el nombre del bebé: X Æ A-12.","¿Cómo se pronuncia X Æ A-12, el nombre del hijo de Elon Musk?"
El UTR es una nueva modalidad para establecer el tenis en vivo en tiempos de pandemia y que además serviría para esclarecer el ranking después de que se detuvieran las giras del ATP y el Tenis Profesional.,Regresó el Tenis en vivo en Estados Unidos
"Tres décadas antes de que el mundo entero se familiarizara con las palabras ""coronavirus"", ""pandemia"" o ""confinamiento"", un grupo de ocho personas se encerró durante dos años como parte de un experimento para tantear cómo sería la vida de una colonia humana fuera de la Tierra.","""Spaceship Earth"" muestra insólita aventura previa al coronavirus"
"Washington.- La tasa de desempleo de Estados Unidos alcanzó 14.7% en abril, la más alta desde la Gran Depresión, al desaparecer 20.5 millones de empleos en la caída mensual más grave desde que se llevan estadísticas.","Tasa de desempleo llega a 14.7% en EU, la más alta desde la Gran Depresión"
"La Comisión Nacional del Sistema de Ahorro para el Retiro (Consar), informó que ante las medidas para evitar los contagios por Covid-19, los trabajadores con cuenta de Afore que hayan perdido su empleo pueden tramitar el retiro parcial por desempleo a distancia.","Por Covid-19, facilitan retiros parciales por desempleo de las Afores "
,"Museos, un futuro sin dinero ni tumultos por el coronavirus "
"Pese a que estamos en plena contingencia por la Covid-19, las redes sociales se han vuelto locas después de que el futbolista Jonathan Dos Santos compartiera una foto por error con la modelo e influencer Amanda Trivizas , quien pese a su gran belleza muchos fanáticos la confundieron con la empresaria y socialité Kylie Jenner. Esto sin duda desató una ola viral de memes, fotos e incluso comparaciones entre estas dos mujeres.","Quién es Amanda Trivizas, la mujer que aparece con Jonathan Dos Santos idéntica a Kylie Jenner"
