uid,article_links,body,title,newspaper_uid,host,n_tokens_title,n_tokens_body
40d5431009aac062e903dc42870f6f0c,https://www.eluniversal.com.mx/espectaculos/spaceship-earth-muestra-insolita-aventura-previa-al-coronavirus,"Tres décadas antes de que el mundo entero se familiarizara con las palabras ""coronavirus"", ""pandemia"" o ""confinamiento"", un grupo de ocho personas se encerró durante dos años como parte de un experimento para tantear cómo sería la vida de una colonia humana fuera de la Tierra.","""Spaceship Earth"" muestra insólita aventura previa al coronavirus",eluniversal,www.eluniversal.com.mx,7,23
00855dc33beaf647c801f8ef0ea337a7,https://www.eluniversal.com.mx/nacion/amlo-ordena-enviar-nota-diplomatica-para-conocer-detalles-de-rapido-y-furioso,"Ante las declaraciones del expresidente Felipe Calderón, quien aseguró que el operativo ""Rápido y Furioso"" no fue algo acordado entre Estados Unidos y México, Andrés Manuel López Obrador ordenó enviar una nota diplomática al gobierno estadounidense para conocer las investigaciones y conclusiones de la operación.","AMLO ordena enviar nota diplomática a EU para conocer detalles de operativo ""Rápido y Furioso""",eluniversal,www.eluniversal.com.mx,11,25
47a82eb4b31f79b31af8a656959d84d2,https://www.eluniversal.com.mx/techbit/que-numero-ves-conoce-el-nuevo-reto-viral,"Debido a que una gran cantidad de personas en todo el mundo se encuentran en cuarentena como medida para evitar la propagación del coronavirus, es que los juegos y desafíos en Internet y las redes sociales han tomado un segundo aire como medio de entretenimiento.",¿Qué número ves? Conoce el nuevo reto viral ,eluniversal,www.eluniversal.com.mx,6,21
10b520ac712cee110e2f17436ab5e114,https://www.eluniversal.com.mx/mundo,mundo,Prevén dos rebrotes más del coronavirus en España,eluniversal,www.eluniversal.com.mx,5,1
ea5e68c172776cc83170fcce79084f86,https://www.eluniversal.com.mx/universal-deportes/futbol/jonathan-dos-santos-se-hace-viral-fotografia-del-futbolista-teniendo-sexo,"En redes sociales se ha hecho viral una fotografía que habría subido el mediocampista del LA Galaxy, Jonathan dos Santos, junto a una mujer.",Polémica foto de Jonathan Dos Santos teniendo sexo,eluniversal,www.eluniversal.com.mx,6,13
a6d40a59bb42f1223e2b3b39c881c361,https://www.eluniversal.com.mx/mundo/los-gatos-son-una-especie-mas-susceptible-al-coronavirus-afirma-la-oms,"La familia de los felinos, incluyendo los gatos y tigres, son susceptibles al nuevo coronavirus y los primeros pueden transmitirlo a otros de su misma especie, confirmó hoy viernes un especialista en zoonosis y enfermedades alimentarias de la Organización Mundial de la Salud (OMS), Peter Ben Embarek.","Los gatos son una especie más susceptible al coronavirus, afirma la OMS",eluniversal,www.eluniversal.com.mx,6,27
b1138c94ba63e43142a9518a1156805d,https://www.eluniversal.com.mx/autopistas,autopistas,El papel de los videojuegos en el manejo autónomo,eluniversal,www.eluniversal.com.mx,4,1
0527e190951596832b975eedd5e05f4f,https://www.eluniversal.com.mx/nacion/rompen-la-cuarentena-para-buscar-sus-familiares-desaparecidos," María Isabel Cruz Bernal ha escuchado una y otra vez cómo las autoridades federales piden a los mexicanos quedarse en casa para prevenir más contagios por coronavirus (Covid-19); sin embargo, ella considera que buscar a su hijo desaparecido es una actividad esencial y por eso rompió la cuarentena.",Rompen la cuarentena para buscar a sus familiares desaparecidos,eluniversal,www.eluniversal.com.mx,5,25
4ea1fcad7d7130600780f949f4bd1cf6,https://www.eluniversal.com.mx/nacion/criticas-de-exsecretarios-de-salud-por-intereses-politicos-y-partidistas-amlo,"El presidente Andrés Manuel López Obrador aseguró que respeta las críticas que han realizado exsecretarios de Salud sobre el manejo del coronavirus por parte de su gobierno, pero acusó que estas opiniones tienen intereses políticos, y respaldó la actuación de Jorge Alcocer, secretario de Salud, y del subsecretario Hugo López-Gatell. ","Críticas de exsecretarios de Salud, por intereses políticos y partidistas: AMLO",eluniversal,www.eluniversal.com.mx,7,27
a9685b26b3142657ca40d37a78bb210e,https://www.eluniversal.com.mx/universal-deportes/futbol/fifa-autoriza-5-cambios-y-desaparece-el-var,La FIFA aprobó las recomendaciones de la International Board (IFAB) en donde se estable que se podrán hacer hasta 5 cambios de jugadores en un solo partido y además autoriza a dejar de utiliza el Video Assistant Referee (VAR) en las ligas y torneos donde ya se aplicaba.,FIFA autoriza cinco cambios y desaparece el VAR,eluniversal,www.eluniversal.com.mx,6,24
15c1962678e26e417639b4d3fe4c60d2,https://www.eluniversal.com.mx/techbit/plataforma-de-la-unam-muestra-la-propagacion-del-coronavirus-y-tu-riesgo-de-enfermar,"La información confiable es una de las armas más poderosas para enfrentar el Covid-19, especialmente considerando que las noticias falsas proliferan en situaciones de crisis como esta. Precisamente para acercar a la población datos verificados, la UNAM desarrolló una plataforma digital que muestra la propagación del coronavirus. ",Plataforma de la UNAM muestra la propagación del coronavirus y tu riesgo de enfermar ,eluniversal,www.eluniversal.com.mx,7,24
